,2004,2007,2010,2013,2016
LANAO DEL SUR,46.84711481261154,49.893491124260365,68.73035324204807,74.60973370064278,67.80187360902644
MAGUINDANAO,126.93136349646043,150.12959068903126,152.6234567901235,115.27281232249656,102.51911954167923
SULU,85.17795138888886,91.14583333333331,87.68200658943562,141.8960936175024,96.1451247165533
BASILAN,137.90100159674847,144.79500076207893,90.66358024691357,97.50297265160526,121.16571325615965
TAWI-TAWI,109.5690284879474,109.09090909090908,133.92857142857144,131.82159688545863,153.89350569405968
DAVAO DEL NORTE,88.68583714055364,88.38383838383838,90.67952249770431,90.67952249770431,91.82736455463728
DAVAO DEL SUR,67.58711374095988,71.00073046018991,67.0611439842209,78.12500000000001,84.87654320987653
DAVAO OCCIDENTAL,0.0,0.0,0.0,0.0,309.0567051867777
COMPOSTELA VALLEY,98.4918436441982,87.1488033298647,93.65244536940683,96.25390218522371,106.65972944849113
DAVAO ORIENTAL,96.2539021852237,112.34225915666359,110.85915847820607,109.599395313681,113.3786848072562
LAGUNA,38.8671875,40.12981886759354,45.88429752066116,40.42483209370922,40.616642783472216
BATANGAS,58.21854912764003,54.71978305785124,53.52743381296696,55.53455156479731,51.71658144631118
QUEZON,35.9236831987697,35.44309880815071,32.89306650267151,37.596981613348916,35.60090702947846
CAVITE,66.18942556467357,60.43284378712488,56.239066633896684,61.39761596025559,60.86541658835605
RIZAL,80.30933967876263,102.04081632653062,86.25817965496728,104.10469958358121,103.36109458655562
NEGROS ORIENTAL,55.93388429752066,54.876033057851245,50.43725318979786,49.93141289437587,55.90256555507521
CEBU,25.108864170392174,26.509533810438583,28.193290243151736,25.914177433353615,25.712293631238385
BOHOL,32.346999502042436,30.809259479011473,30.485756517065308,31.868112303939892,32.4241363753273
SIQUIJOR,184.48720491965886,184.48720491965884,186.93551774837218,182.73471959672335,199.5379122033186
ILOCOS SUR,38.23226491058331,42.757287328970854,42.604788678587155,46.81501825785712,43.06981679722855
PANGASINAN,39.5250790501581,39.915267589853116,40.920081840163675,38.628409219206134,42.88
ILOCOS NORTE,67.75067750677508,67.42018639698593,74.10207939508507,76.09261186264307,78.73737730386273
LA UNION,74.06783940745729,74.88905325443787,71.12195943102434,77.43455938052352,79.36507936507937
CAMARINES NORTE,89.88637006048955,99.80831515632232,98.61111111111111,101.01010101010101,95.7897081755402
CAMARINES SUR,31.295200525969747,35.38400421282138,32.50894486561444,33.61143585928365,33.73365807228241
ALBAY,63.61228682458355,57.671839805945396,59.651988812158116,61.0,65.40238882856491
MASBATE,61.51875642841895,60.523689184310555,60.74249451765026,62.68314929457199,60.74249451765026
SORSOGON,69.44444444444443,79.43754565376187,72.98752834467119,80.78231292517006,77.94784580498866
CATANDUANES,124.1782322863404,120.93174255336419,122.25940851034765,137.0506695904143,107.2331124923161
BULACAN,105.10488802787376,112.409258179332,87.39076154806492,109.22036311854754,107.32323232323233
PAMPANGA,71.18055555555556,74.85822306238185,66.90279417552145,66.66666666666667,68.6428522641896
NUEVA ECIJA,58.81519274376416,54.43786982248522,51.120986334324556,46.04180525891951,53.60536412205529
TARLAC,76.01329588497515,74.98260712721276,72.40588523280684,76.45429362880887,71.37519647504445
ZAMBALES,79.75229874272846,80.69056108087818,80.3804994054697,80.69056108087821,76.4299802761341
AURORA,141.28728414442702,141.28728414442702,146.1176186450912,169.18152720621853,138.87211689409492
BATAAN,99.48096885813146,100.56228373702422,117.86332179930795,113.2296004090876,115.77503429355284
BATANES,170.1323251417769,226.9462798046538,182.73471959672338,191.136315900021,191.13631590002097
CAGAYAN,42.83574742618951,43.51181754119081,44.30200772928646,47.23452833548036,47.43632990386237
ISABELA,47.468770545693616,47.04163623082543,49.44115713346481,48.2871720116618,48.56052722858135
NUEVA VIZCAYA,86.71878337391601,73.90319962407621,73.39380481011706,71.13553389288268,80.16861756182017
QUIRINO,160.68240428486416,168.6173378297957,164.64987105732996,164.64987105732996,168.6173378297957
ZAMBOANGA DEL NORTE,46.096191377018954,50.83406627808172,45.81404320987654,48.88277665064473,47.55444909885065
ZAMBOANGA SIBUGAY,68.49543920612115,70.98431584640346,70.68304927995771,71.3436385255648,71.16843195562831
ZAMBOANGA DEL SUR,42.39439779879784,41.54492330168006,41.00986799948737,42.68626734842951,43.40277777777777
SOUTHERN LEYTE,61.87968647625519,66.84743214582943,68.67431871678517,63.3356790992259,64.30634084787305
SAMAR,56.93287096941152,56.52706616172867,59.99409051785049,63.5204081632653,60.76489253735178
NORTHERN SAMAR,63.155065842515455,60.26736795967565,62.62012524025049,60.491493383742906,58.28011656023312
EASTERN SAMAR,57.409947670578674,56.69011679530087,66.81756450882752,69.87311385459532,66.93236208310292
LEYTE,29.977221425229203,29.463032378484275,29.774522559926705,29.564009763487928,30.346933980734594
BILIRAN,150.94795314575538,124.38111339210244,146.11761864509117,175.27815881725346,170.26929114841204
MISAMIS ORIENTAL,49.2648269398817,49.35937828187355,48.2253086419753,52.08333333333333,53.04783950617283
BUKIDNON,49.89408448731638,50.15159893976087,50.94448626599674,57.438016528925615,53.507728894173596
CAMIGUIN,206.93361999462513,203.96437805228382,203.96437805228382,203.96437805228382,238.4372306808388
MISAMIS OCCIDENTAL,73.6842105263158,76.54320987654323,82.23684210526314,81.30612244897958,84.76454293628808
LANAO DEL NORTE,50.23464868795031,62.48204538925596,61.459417273673246,59.02777777777778,57.57971645618618
MOUNTAIN PROVINCE,94.95982468955442,93.42647925258817,91.7133349565782,91.7133349565782,93.3365798230663
IFUGAO,92.20681647428455,104.50105867085581,101.76900484939553,96.30489720647496,101.76900484939553
BENGUET,66.49575388559526,72.10382951450089,72.10382951450089,77.1604938271605,68.09806120813973
ABRA,58.41423727890415,59.23121961846924,55.34377730778485,54.330618913134316,56.35693570243537
APAYAO,156.98826398414874,188.45467169212463,166.1332114007011,178.32647462277092,172.229843011736
KALINGA,119.55077889143824,117.13561164110618,126.02613018846114,126.28828567281178,119.0889120129495
ROMBLON,68.67922224596317,77.54330465645614,72.95259607460089,82.82835526551689,68.0687402704435
ORIENTAL MINDORO,70.67718606180142,73.30526926985051,81.289011467557,76.20844825083468,85.60184997362978
PALAWAN,58.28857421875,63.043308011590575,57.97770088427527,59.84000000000002,59.74415041063344
OCCIDENTAL MINDORO,95.84242183885257,105.09617291294867,105.09617291294865,124.92563950029745,127.56956837861063
MARINDUQUE,156.71493751239836,180.05912389142705,152.7474707399326,168.6173378297957,152.7474707399326
NEGROS OCCIDENTAL,39.80416042706062,45.88995321897973,41.494994895748405,41.66634337101668,41.20122502038028
ANTIQUE,66.31050497999948,77.85091382939623,74.90133963327877,87.69618728593474,76.47816671692112
ILOILO,30.841260404280618,34.54365502920686,34.58302679058501,35.300237812128415,35.021551724137936
CAPIZ,65.90357266736041,67.79442148760333,69.37218175511622,75.64875993488461,79.19990750375769
AKLAN,76.74161665024339,77.18266564201942,84.55542343770642,85.22727272727275,86.83837429111531
GUIMARAS,196.18382155334595,234.52518262206846,223.058317656544,246.9135802469135,244.5579145391024
SULTAN KUDARAT,95.36000000000001,97.00176366843031,96.23702422145328,96.23702422145328,114.55058873674673
COTABATO,59.87088713036234,66.48167418198638,64.55643481882548,71.12115014804186,67.25244144399495
SARANGANI,143.70735955871686,134.99782261576428,146.610538539701,180.05540166204986,197.03509101144672
SOUTH COTABATO,80.61224489795919,80.61224489795919,82.65306122448979,81.91556395715185,78.57142857142858
"NCR, SECOND DISTRICT",153.08641975308646,158.44875346260386,162.50495441934203,138.8771988889824,138.8771988889824
"NCR, CITY OF MANILA, FIRST DISTRICT",278.9256198347108,320.2479338842975,309.9173553719008,268.59504132231405,265.0081124932396
"NCR, FOURTH DISTRICT",106.29129560471128,103.7742084737921,110.38403066957503,116.99385286535792,123.60367506114088
"NCR, THIRD DISTRICT",196.1838215533459,185.43402311206668,202.91363163371483,187.3048907388137,213.31945889698227
AGUSAN DEL NORTE,89.74913494809687,97.55463059313215,90.8304498269896,100.48000000000003,96.23702422145328
SURIGAO DEL NORTE,49.99086924762601,59.38354227542651,59.127574594721594,60.69386796146918,66.44375857338818
SURIGAO DEL SUR,72.1085870487322,65.03911773022904,80.43639053254438,79.51183431952663,73.50221893491124
DINAGAT ISLANDS,0.0,332.1448677050102,288.8663086079257,285.96312962694157,291.1141594269167
AGUSAN DEL SUR,80.73817762399077,107.74010179126182,100.26298487836945,85.47008547008545,89.5792241946088
